emp_no,first_name,last_name,gender,salary,to_date,dept_no
10396,Sibyl,Rahier,M,40393,1987-01-11,d005
10397,Irena,Reutenauer,M,40529,1994-05-21,d004
10402,Volkmar,Ebeling,M,40000,1988-01-02,d006
10404,Prodip,Rosti,F,51647,1989-08-28,d005
10407,Ulf,Siepmann,M,62565,2000-10-29,d007
10413,Danel,Impagliazzo,F,45416,1992-12-26,d003
10418,Candida,Porotnikoff,F,52224,1997-10-04,d001
10422,Greger,Rubsam,F,45725,1996-01-03,d006
10426,Arunas,Luce,F,65757,1986-07-06,d005
10429,Martien,Improta,F,40000,1989-09-23,d005
10432,Hisao,Tiemann,F,40000,1991-08-13,d009
10433,Reuven,Dengi,M,40000,1993-11-26,d006
10451,Bodh,Ranta,F,46275,1989-03-12,d004
10453,Tsvetan,Matzel,F,40000,1986-04-02,d009
10463,Ung,Zaiane,M,66480,1995-02-17,d007
10477,Guoxiang,Trogemann,F,55138,1998-05-26,d005
10486,Amstein,Kossowski,F,71692,1988-10-07,d006
10494,Yakkov,Servieres,F,50094,1992-12-17,d004
10497,Pramod,Rabehasaina,M,63707,1993-01-21,d004
10499,Maik,Luft,F,40000,1997-07-31,d007
10503,Dannz,Pell,M,40000,1998-03-13,d004
10504,Xiong,Varker,M,43931,2000-10-18,d007
10509,Abdelwaheb,Riesenhuber,F,49292,1993-10-06,d007
10512,Udi,Gihr,M,40000,1990-11-28,d003
10517,Tiina,Speek,M,65330,1991-12-25,d007
10522,Marke,Cesareni,F,40000,1987-12-12,d003
10529,Ymte,Yetto,M,47840,1998-07-04,d004
10531,Oguz,Gimbel,F,49168,1996-03-15,d003
10542,Yannis,Couchot,F,40000,1993-02-06,d005
10548,Ramalingam,Gunderson,M,90631,1987-07-04,d001
10552,Kazuhito,Shiratori,M,80483,1999-08-31,d004
10564,Jianhao,Thisen,M,46660,1996-11-22,d004
10568,Gao,Poulakidas,F,64356,1996-07-07,d007
10586,Kirk,Vuskovic,M,47541,1993-02-03,d004
10593,Falguni,Kenevan,M,71435,1991-09-12,d004
10596,Sanjit,Coors,M,58689,1997-05-23,d007
10603,Wayne,Restivo,M,101271,1996-07-19,d007
10610,Irena,Roccetti,F,49812,1998-03-30,d005
10614,Gila,Ozeri,F,40000,1991-03-03,d009
10615,Keung,Delgrande,M,43533,1997-03-10,d002
10623,Aleksander,Danlos,F,60268,1993-01-14,d008
10624,Sham,Gyorkos,F,40000,1991-05-07,d004
10628,Krisda,Krogh,M,41650,1988-03-13,d005
10630,Bezalel,Katzenelson,F,40000,1998-01-13,d004
10631,Inderjeet,Chaudhuri,M,40000,1995-10-18,d005
10634,Nahid,Chepyzhov,M,45179,1991-11-11,d008
10636,Saeko,Porotnikoff,F,40904,1997-09-25,d003
10639,Pramod,Erol,M,46291,1993-10-25,d005
10641,Guozhong,Zucker,M,41785,1994-03-21,d005
10196,Marc,Hellwagner,M,86671,2000-01-31,d002
10642,Hirochika,Narlikar,M,40000,1999-10-05,d005
10198,Pranav,Furedi,M,44076,1986-08-31,d005
10203,Steen,Escriba,M,40000,1990-04-06,d008
10653,Otmar,Feinberg,M,40000,1988-04-29,d005
10205,Mabhin,Leijenhorst,F,40000,1994-08-23,d004
10207,Girolamo,Anandan,F,52783,1993-10-11,d005
10215,Xiaobin,Duclos,M,43944,1992-11-22,d007
10667,Makato,Cusworth,F,40000,2000-07-27,d009
10671,Parviz,Rebaine,M,74037,1996-09-13,d003
10676,Valeri,Danley,F,58226,2000-09-03,d005
10219,Genta,Kolvik,M,40000,1994-03-31,d005
10224,Leon,Trogemann,M,40000,1989-01-08,d004
10683,Guiseppe,Stranks,F,40000,1998-06-23,d004
10228,Karoline,Cesareni,F,79474,1993-12-22,d001
10693,Berhard,Daescu,F,40000,1987-01-08,d009
10696,Unal,Fendler,M,68913,1992-09-08,d005
10230,Clyde,Vernadat,M,47531,1997-06-16,d008
10702,Bader,Szemeredi,M,46581,1992-01-14,d005
10712,Uma,Koprowski,F,40000,1995-08-18,d005
10718,Adib,Rullman,M,75473,1989-07-21,d005
10726,Zita,Minakawa,F,46315,1993-02-24,d005
10734,Sachar,Erdi,M,47377,1996-12-18,d004
10741,Sven,Huttel,F,50265,1990-01-06,d001
10742,Shim,Wiegley,M,67405,1998-04-03,d005
10745,Poorav,Ranze,F,40000,1989-01-22,d004
10749,King,Brendel,M,60829,1986-09-26,d004
10750,Roddy,Demeyer,F,40000,1999-11-06,d005
10764,Yunming,Beetstra,F,70720,1990-11-27,d005
10767,Monique,Doering,F,40651,1998-07-15,d007
10768,Ishfaq,Candan,M,65717,1986-07-04,d004
10233,Lein,Vendrig,F,40000,1995-04-29,d003
10778,Selwyn,Merey,M,64996,1987-07-04,d001
10791,Tadahiko,Sgarro,M,40000,1989-07-30,d005
10239,Nikolaos,Llado,F,65146,1997-05-04,d001
10240,Remko,Maccarone,M,73874,1999-10-06,d006
10248,Frederique,Tempesti,F,58918,1992-08-12,d007
10795,Supot,Naudin,M,84206,1994-05-03,d007
10249,Marie,Boreale,M,72192,1992-12-07,d008
10258,Basil,Ishibashi,F,66280,1986-05-17,d005
10808,Chenxi,Leijenhorst,M,40000,1988-03-06,d005
10811,Ashish,Fortenbacher,M,40000,1998-07-08,d004
10813,Shalesh,Shumilov,M,53246,1991-04-27,d007
10814,Nidapan,Dymetman,F,59378,1994-07-17,d007
10826,Arnd,Anandan,M,59506,1994-01-22,d005
10827,Willard,Danley,M,58322,1997-11-07,d002
10830,Fen,Fiebach,M,47420,1992-08-23,d001
10831,Toong,Driscoll,M,82330,1999-02-22,d005
10833,Krisda,Gecseg,F,40000,1999-12-23,d006
10834,Huiqun,Rajcani,M,53869,1991-11-24,d004
10835,Tomoyuki,Kermarrec,M,40000,1996-08-21,d004
10262,Mahendra,Maraist,F,63005,1997-01-21,d007
10836,Jianhua,Leivant,F,65502,1988-08-09,d009
10272,Yishai,Cannane,M,58070,1998-10-23,d002
10844,Dipayan,Koprowski,M,40000,1998-04-25,d005
10281,Moty,Kusakari,M,46123,1995-12-03,d006
10846,Tokuyasu,Serre,M,40000,1996-01-17,d008
10847,Theirry,Danley,M,40000,1987-07-25,d008
10848,Fen,Bratsberg,F,50475,1986-04-20,d004
10849,Makato,Mayerwieser,M,66065,1996-06-24,d005
10282,Hercules,Benzmuller,M,40000,1997-05-02,d004
10283,Kauko,Birjandi,M,40000,1989-05-25,d005
10854,Jagoda,Nannarelli,M,40000,1999-07-13,d005
10284,Masali,Murrill,F,40000,2000-07-05,d004
10295,Kristine,Velardi,M,46398,1996-06-18,d002
10858,Kenroku,Gonthier,M,47847,1998-01-01,d005
10298,Dietrich,DuCasse,F,40000,2000-04-26,d004
10871,Aram,Gilg,M,40000,2000-06-15,d009
10306,Heng,Kilgour,M,44229,1994-09-06,d007
10872,Karoline,Speel,F,40000,1991-09-06,d002
10873,Sukumar,Wegerle,M,65835,1995-03-23,d002
10878,Lakshmi,Deville,M,72102,1998-04-25,d007
10879,Muzhong,Chleq,F,65651,1986-08-15,d005
10882,Fun,Heuser,M,40000,2000-04-28,d005
10883,Shimshon,Champarnaud,M,40000,1997-12-28,d004
10885,Rayond,Cronau,M,78613,1992-08-18,d001
10887,Lunjin,DeMori,M,69570,1990-03-17,d005
10307,Nikolaos,Leaver,M,40000,2000-10-15,d006
10900,Ferdinand,Prenel,F,50054,1996-09-06,d005
10322,Isamu,Dahlbom,F,41968,1991-01-29,d005
10906,Munehiro,Carrere,F,66204,1999-10-18,d007
10909,Georgi,Atchley,M,80935,1994-12-26,d005
10325,Arunachalam,Badr,M,44325,1991-09-20,d003
10913,Narain,Thummel,M,62428,1999-10-25,d002
10326,Masali,Czap,F,40000,1999-09-02,d008
10328,Serenella,Kawashima,M,46286,1999-07-17,d005
10333,Snehasis,Dymetman,M,45141,1994-01-16,d005
10920,Ronghao,Narahara,M,40000,1993-02-23,d003
10921,Mara,Bahi,F,72601,1987-07-27,d004
10924,Hironoby,Atchley,F,84783,1989-08-14,d007
10340,Djelloul,Laventhal,M,68132,1989-03-30,d001
10343,Dinah,Syrzycki,M,40000,1998-10-03,d006
10926,Leni,Eppinger,F,43219,1991-04-30,d009
10927,Gal,Scallan,M,51819,1987-09-12,d001
10347,Pradeep,Kaminger,M,42199,1999-02-20,d008
10930,Arch,Minakawa,M,53785,1992-11-21,d004
10932,Avishai,Picci,F,40000,1995-09-09,d005
10936,Mountaz,Schicker,F,40000,1991-05-09,d003
10349,Oksana,Brodie,F,47518,1992-09-27,d009
10353,Phule,Hammerschmidt,M,62656,1990-08-24,d001
10355,Satyanarayana,Cochrane,M,70434,1997-01-25,d007
10942,Toshimitsu,Larfeldt,F,40000,1997-01-20,d005
10356,Vasilis,Standera,M,45376,1996-06-25,d008
10943,Berna,Skafidas,M,45890,1994-05-22,d005
10358,Qunsheng,Tagansky,M,63243,1992-02-19,d005
10944,Remko,Zyda,M,42872,1996-09-06,d004
10364,Nakhoon,Dengi,M,51401,1986-11-14,d004
10947,Gor,Usery,F,43068,1996-11-15,d009
10367,Hyuckchul,Gini,M,63565,1992-06-23,d001
10949,Shigeichiro,Wroclawski,F,58253,1991-06-29,d002
11111,Udi,Zastre,F,49777,1995-12-25,d004
10956,Arno,Picel,M,40000,1996-12-01,d004
10965,Eckart,Braunschweig,M,61654,1987-07-29,d007
11112,Boaz,Mukaidono,M,40000,1996-04-27,d009
11113,Shahab,Peng,F,66401,1986-11-30,d001
10969,Premal,Noriega,M,40000,1995-05-12,d005
10974,Muneo,Papsdorf,M,56005,2000-05-16,d005
11121,Vugranam,Kakkad,F,40000,1993-10-31,d005
10986,Masako,Schiper,M,43900,1986-10-11,d005
10987,Flemming,Baezner,M,46108,1998-05-21,d005
11130,Xinyu,Menhoudj,M,43172,1998-02-17,d003
10988,Chinya,Deyuan,M,54174,1986-06-19,d005
10989,Sumali,Candan,F,46406,1986-07-20,d002
10990,Shin,Foote,M,40000,1991-08-06,d005
10996,Matk,Rahimi,F,43564,1991-02-07,d007
11132,Kristin,Harnett,M,40000,1995-08-30,d004
11133,Nalini,Azulay,M,40000,1995-03-06,d006
11134,Sachar,Rajcani,F,58731,1994-05-19,d006
11004,JoAnna,Decleir,F,40226,1993-01-18,d006
11137,Hugh,Luca,M,40000,1996-03-15,d005
11009,Alper,Axelband,F,75111,1987-09-09,d007
11012,Taegyun,Speckmann,F,72092,1997-07-06,d009
11139,Bogdan,Homond,F,63596,1991-05-11,d009
11143,Yongdong,Rosen,M,63264,1997-05-09,d005
11144,Carrsten,Heinisuo,M,56144,1997-07-19,d007
11019,Leon,Huttel,M,69387,1993-05-24,d005
11021,Srinidhi,Henders,F,62670,1999-02-02,d008
11027,Remzi,Cappello,M,40000,1987-05-07,d004
11031,Ottavia,Walstra,M,71654,1986-10-24,d001
11032,Erez,Schaaf,M,40000,1995-06-06,d005
11037,Lansing,Maliniak,M,40000,1989-01-27,d004
11038,Jinya,Beidas,M,44993,1986-07-15,d008
11042,Gou,Breugel,F,40000,1994-06-21,d005
11048,Jaques,Demke,M,65697,2000-05-26,d007
11050,Elvis,Katiyar,M,52251,1987-05-06,d001
11051,Przemyslawa,Erol,F,40000,1992-03-26,d004
11056,Palash,Speel,F,79354,1998-07-01,d007
11061,Pintsang,Erni,M,81257,1994-02-19,d007
11064,Shawna,Vieri,F,48411,1991-02-28,d004
11066,Shaz,Langford,M,53496,1997-04-30,d002
11070,Adib,Raney,M,40000,1986-07-24,d006
11071,Kwan,Sigstam,F,40000,1993-05-23,d005
11075,Karsten,Belinskaya,F,76877,1999-05-06,d004
11079,Piyush,Garigliano,M,46239,1995-05-26,d005
11081,Barry,Boyle,M,65686,1986-06-17,d002
11083,Shimshon,Ducloy,M,90972,1993-10-04,d003
11084,Greger,Senzako,M,52121,1991-05-31,d004
11085,Hailing,Thummel,M,66437,1997-02-09,d004
11087,Changho,Jayawardene,M,78081,1999-03-18,d004
11089,Conal,Henders,F,41004,1995-08-13,d007
11091,Souichi,Ramsay,F,76253,2000-09-10,d004
11092,Narain,Stamatiou,M,78588,2000-04-04,d001
11098,Arnd,Covnot,F,40000,1998-01-08,d005
11100,Berna,Cochrane,M,40000,1987-10-13,d008
11106,Aris,Iwayama,F,71446,1986-08-31,d005
11146,Ishfaq,Masand,F,96019,1992-08-21,d007
11147,Ayonca,Nitsch,M,40000,1998-12-04,d005
11148,Zhanqiu,Botman,F,56344,1991-02-08,d003
11158,Masaki,Hagimont,M,40000,1997-04-20,d004
11296,Hironobu,Kenevan,M,40000,1990-09-26,d004
11162,Kauko,Narlikar,F,69873,1986-03-28,d005
11168,Shmuel,Tetzlaff,F,72944,1997-07-15,d007
11170,Minghong,Cannard,M,44531,1991-06-20,d005
11301,Mingzeng,Oxenboll,F,40000,1990-05-23,d003
11174,Akhilish,Milicia,M,45806,2000-06-06,d004
11177,Chrisa,dAstous,M,40000,2000-09-10,d005
11180,Mitsuyuki,Bojadziev,F,40000,1987-06-11,d005
11317,Shigeaki,Hagimont,F,40000,1996-09-07,d005
11319,Pranas,Marrakchi,F,40000,1999-11-01,d005
11320,Atilio,McAlpine,M,45118,1991-04-05,d001
11322,Nathalie,Pocchiola,F,43021,1986-07-07,d006
11324,Kauko,Billingsley,F,54288,1986-08-29,d004
11325,Samphel,Rossi,F,62458,2000-01-10,d005
11326,Munenori,Plesums,F,40000,1991-02-19,d005
11181,Hausi,Cullers,M,40000,1998-11-03,d005
11185,Aloys,Baezner,M,40000,1996-01-26,d009
11186,Kshitij,Stasinski,M,40000,1995-12-10,d004
11189,Dante,Bodoff,F,71798,1992-09-06,d007
11192,Apostol,Bahr,M,40000,1999-04-07,d006
11197,Tadahiro,Fordan,M,88741,1990-09-12,d007
11338,Kwangsub,Hanratty,M,82210,1999-10-28,d007
11339,Flemming,Massonet,M,40000,1990-12-19,d004
11340,Aris,Bala,M,48813,1992-09-10,d004
11343,Susanne,Erez,M,43306,1990-02-27,d005
11347,Anneli,Jonsson,M,41524,1987-04-20,d005
11349,Yurii,Hammerschmidt,M,46356,1993-06-27,d004
11201,Jouko,Masaki,M,49454,1996-10-30,d008
11204,Diederik,Covnot,M,40000,1986-09-18,d004
11207,Saeed,Gips,F,49728,2000-01-31,d005
11208,Saniya,Valtorta,F,83660,1995-11-17,d004
11360,Fen,Schach,M,63466,1990-01-12,d007
11211,Yurij,Rissland,M,72668,1986-09-17,d004
11213,Vugranam,Munoz,F,40000,2000-02-04,d004
11365,Toshimi,Shinomoto,M,56463,1998-12-18,d004
11217,Kellie,Mawatari,M,40000,1991-03-11,d004
11229,Gretta,Ramamoorthy,M,48214,1992-07-25,d006
11232,Hidefumi,Crelier,M,43863,1995-08-02,d009
11373,Yongmao,Keohane,F,45912,1993-07-18,d009
11376,Valery,Suomi,M,46964,1987-03-14,d008
11380,Kenroku,Pelc,M,53345,1992-04-18,d005
11233,Sanjit,Waschkowski,F,46070,1992-12-13,d005
11240,Kiam,Condotta,M,61739,1990-01-06,d005
11243,Udi,Desikan,F,47598,2001-01-19,d004
11385,Shiv,Ullian,M,40000,2000-08-07,d004
11386,Alselm,Assaf,F,47726,1988-11-29,d006
11249,Randi,Cyre,M,43324,1987-09-22,d005
11393,Junsik,Junot,M,40000,1986-04-30,d004
11396,Anneke,Servieres,F,48918,1998-02-04,d005
11398,Oscar,Peir,M,44625,1995-09-07,d002
11401,Huan,Merey,F,52021,1996-04-14,d007
11404,Bedrich,Borovoy,M,42907,1991-09-25,d005
11251,Bezalel,Chinal,M,69432,1987-06-15,d001
11406,Eberhardt,Gini,F,71834,1990-03-13,d008
11410,Gro,Vendrig,M,45665,2000-10-24,d005
11253,Koldo,Pokrovskii,M,40000,1993-05-22,d005
11254,Danel,Rindone,F,50562,1999-12-19,d007
11258,Aris,Maccarone,F,40000,1992-03-27,d009
11415,Sanjiv,Anido,M,40000,1997-12-07,d004
11417,Anneli,Cyne,M,74114,1993-12-21,d006
11266,Florina,Rohrbach,M,40000,1998-05-12,d006
11418,Satosi,Cooley,F,40000,1992-12-29,d001
11267,Shaunak,Zaumen,M,65990,1997-04-09,d008
11420,Tsutomu,Lalonde,F,40000,1993-01-30,d003
11421,Josyula,Msuda,F,52416,1987-09-02,d004
11268,Aimee,Petersohn,F,40000,1988-10-24,d004
11274,Masanao,Nicolson,F,40000,2000-12-12,d009
11423,Guangming,Kopetz,M,43947,1999-10-12,d009
11425,Renee,Crelier,M,40000,1991-08-27,d005
11275,Hitomi,Eppinger,F,58382,1990-04-25,d005
11289,Chuanti,Cherinka,M,40000,1990-02-22,d005
11441,Marlo,Aingworth,M,67352,1988-03-26,d007
11446,Naftali,Narahara,M,40000,1992-04-05,d005
11449,Kotesh,Asser,M,61434,1996-02-03,d004
11290,Visit,Dredge,M,65034,2000-05-12,d005
11451,Eben,Rajaraman,M,61848,1991-05-20,d004
11452,Shigehito,Luby,F,52083,1994-08-26,d009
11292,Souichi,Sichman,F,40000,1990-02-11,d005
11459,Duke,Suomi,M,40000,1987-05-03,d003
11460,Mana,Maraist,M,45712,1993-05-28,d004
11294,Tru,Segond,F,43768,1990-06-13,d005
11469,Guttorm,Giaccio,M,44625,1995-09-08,d004
11295,Abdelkader,Lanzelotte,M,66622,1986-05-15,d002
11474,Gennady,Akazan,M,59016,1994-12-29,d004
11503,Nathan,Picht,F,56928,1998-04-09,d005
11476,Manton,Yoshizawa,F,56449,1995-01-15,d001
11479,Shridhar,Pleszkun,M,78157,2000-02-10,d002
11667,Kristian,Marchegay,F,79814,1991-09-08,d001
11673,Henk,Felder,F,40000,1990-06-10,d004
11676,Valeri,Ferriere,F,43310,1999-07-15,d004
11681,Fumitake,Benzmuller,F,40000,1989-08-27,d004
11684,Oksana,Gide,F,68753,1987-02-21,d001
11690,Domenick,Raczkowsky,M,44420,1998-09-23,d003
11693,Hideo,Coorg,M,70403,1992-08-23,d005
11696,Dante,Rothe,M,51633,1986-10-23,d007
11713,Danel,Heusch,M,53387,1995-10-04,d006
11506,Rance,Picel,F,89747,1997-04-08,d007
11509,Aleksander,Feldhoffer,M,40000,1988-11-11,d005
11513,Otmar,Mahnke,M,82525,1993-08-25,d002
11732,Sanjoy,Ranft,F,40000,1997-12-22,d009
11733,Leszek,Sudbeck,F,46092,1993-01-11,d005
11515,Ulf,Basawa,F,70182,1999-09-21,d007
11735,Amalendu,Picci,M,40000,1989-07-14,d009
11518,Jinxi,Oxman,M,40000,1995-09-22,d003
11736,Shugo,Uchoa,M,44127,1995-03-07,d004
11519,Halsur,Chinen,F,61444,1998-06-12,d007
11737,Martina,Garnier,M,48832,1996-07-10,d006
11523,Yuguang,Pezzoli,F,64203,1993-12-23,d005
11524,Xiadong,Standera,M,41081,1997-07-05,d005
11527,Alagu,Boyle,M,60212,2000-01-28,d001
11746,Koichi,Marrakchi,F,55951,1989-11-17,d007
11748,Lihong,Massonet,M,54491,1997-07-24,d005
11528,Zito,Dolinsky,M,44026,1988-06-14,d004
11751,Jiafu,Emiris,M,40000,1989-11-03,d008
11756,Abdelwaheb,Vakili,M,59493,2000-11-25,d005
11531,Radhika,Motley,M,53370,1993-11-04,d004
11533,Vitaly,Lorch,M,40000,1992-08-19,d005
11537,DAIDA,Pehl,M,96023,1987-07-06,d007
11763,Yuriy,Liesche,F,40000,1998-04-18,d005
11764,Sanjay,Anick,F,64875,1992-12-15,d004
11765,Zorica,Junet,F,40000,1992-07-03,d003
11769,Chandrasekaran,Lampe,M,40000,1994-10-22,d005
11540,Chanjung,Portugali,M,70043,1998-07-02,d004
11770,Arumugam,Jakobus,F,40000,1993-11-29,d005
11554,Subhash,Taubenfeld,M,46065,1999-07-15,d001
11772,Gaurav,Penz,F,61295,2000-11-06,d005
11774,Aron,Wroclawski,M,40000,1999-11-26,d004
11778,Dhritiman,Fontan,F,40000,1993-12-28,d004
11779,Shunichi,Thombley,M,40000,1997-11-21,d008
11555,Kotesh,Perfilyeva,M,40000,1987-10-14,d003
11567,Teiji,Mitzlaff,M,86261,1989-02-02,d007
11791,Gal,Mamelak,F,40000,1995-11-15,d005
11797,Chenxi,Thambidurai,M,88050,1989-08-30,d001
11801,Tommaso,Dayang,M,67265,1993-06-12,d007
11807,Chriss,Binding,F,40000,1993-07-11,d009
11810,Amabile,Bhattacharjee,M,41256,1993-01-04,d005
11811,Herb,Boissier,M,52695,1993-03-28,d007
11568,Martins,Fujisaki,M,54673,1993-03-13,d005
11817,Niranjan,Markovitch,M,50638,1987-04-12,d007
11573,Pranas,Hutton,F,46194,1991-02-04,d005
11575,Godehard,Plotkin,F,50896,1995-06-01,d005
11822,Sastry,Madeira,F,67396,1997-07-07,d009
11823,Weiyi,Iacovou,M,72637,1996-10-22,d008
11829,Chaosheng,Pettis,F,40000,2000-10-10,d004
11577,Mayumi,Deyuan,M,40000,1993-09-23,d006
11832,Arto,Zlotek,M,40000,1997-02-03,d005
11581,Patricio,Rosenbaum,F,46950,1993-11-13,d005
11836,Ortrud,Bakhtari,M,40000,1990-07-28,d008
11587,Shem,Zambonelli,M,40000,1990-04-24,d005
11841,Elvia,Bugrara,M,90296,1997-04-02,d009
11842,Moto,Piazza,M,40000,1992-12-10,d008
11844,Shawna,Demeyer,M,78049,1989-01-26,d005
11589,Gina,Plessier,F,58444,1995-05-06,d005
11846,Fai,Perly,F,53448,1995-06-22,d004
11595,Takanari,Kamber,M,68224,1993-09-08,d001
11596,Yannik,Gunderson,F,54076,1996-11-22,d002
11602,Somnath,Malabarba,M,58575,1994-06-21,d001
11853,Zeljko,Kusakabe,F,61941,1989-11-17,d001
11857,Divier,Farrag,F,94805,1987-08-27,d007
11603,Herb,Swen,F,69180,1986-04-13,d002
11606,Perry,Pepe,M,40000,1995-09-27,d009
11607,Tomokazu,Foong,F,49584,1996-04-18,d004
11862,Alejandra,Deville,M,46011,1994-01-20,d006
11615,Shem,Isaak,F,46591,1992-08-28,d007
11864,Pradeep,Kriebel,F,52517,1996-11-01,d009
11868,Kwee,Demke,M,48349,1996-04-01,d006
11869,Fumino,Luca,F,62968,1997-08-12,d004
11871,Nalini,Sommen,M,67424,1994-10-13,d005
11872,Cheong,Riexinger,M,43159,1995-02-12,d001
11616,Zhilian,Brendel,F,41900,1994-12-30,d004
11624,Adil,Gammage,M,42001,1990-07-15,d004
11876,Leszek,Kobuchi,M,45372,1992-06-07,d005
11881,Arra,Staelin,M,76541,1991-04-08,d007
11628,Fan,Malinowski,M,43966,1989-10-23,d008
11640,Valeri,Coorg,M,52520,1989-09-26,d005
11888,Badri,Azulay,M,53720,1995-11-28,d001
11894,Mitchel,Validov,M,56198,1989-06-22,d005
11896,Shaunak,Benzmuller,M,40000,1991-07-04,d004
11897,Cordelia,Setlzner,M,80049,1989-06-16,d007
11641,Chikako,Rothenberg,M,53327,1992-06-17,d005
11644,Sanjit,Zaiane,F,80722,1996-08-08,d004
11906,Hideo,Boguraev,F,81324,2000-02-07,d005
11646,Lobel,Rubsam,M,55411,2000-12-14,d005
11911,Ashish,Mondadori,M,40000,1991-06-05,d005
11647,Magy,Nitsche,M,40000,1989-05-11,d005
11915,Miomir,Mawatari,M,58042,1993-06-28,d004
11917,Jiakeng,VanScheik,F,40000,1998-03-08,d004
11649,Shen,Bernardinello,F,40000,1993-12-11,d008
11660,Gill,Stenning,F,65758,1987-11-22,d007
11926,Leni,Felcyn,F,41612,1999-09-18,d004
11931,Gunilla,Chiodo,F,73369,1992-01-13,d008
11933,Basil,Erman,M,56130,1988-06-12,d005
11664,Oksana,Brizzi,F,70380,1991-09-07,d007
11938,Aruna,Verspoor,M,40000,1995-07-15,d004
12036,Mads,Ratzlaff,M,67143,1987-09-05,d007
11940,Ult,Anido,F,60193,1997-11-02,d005
11944,Along,Aumann,M,52061,1995-12-01,d006
11945,Limsoon,Marakhovsky,F,53056,1995-01-21,d003
12037,Arunas,Katzenelson,M,47805,1987-10-01,d009
12040,Bluma,Kermarrec,F,64813,1999-09-28,d001
11948,Yahiko,Nergos,F,49929,1996-05-09,d009
12043,Masaki,Lubachevsky,M,49009,2001-01-04,d008
11949,Martijn,Harbusch,M,40000,1986-03-11,d004
11951,Bernt,Haumacher,M,40000,1990-10-14,d005
11965,Arup,Morrey,M,57709,1994-10-07,d004
11972,Sibyl,Beausoleil,F,52908,1995-04-25,d001
11980,Yechezkel,Pews,M,58241,1999-02-18,d007
11983,Jaana,Hedayat,M,40000,1987-10-11,d005
11989,Erzsebet,Peltason,M,40000,1990-01-07,d004
12044,Rance,Hemaspaandra,F,40000,1991-04-19,d004
11993,Marit,Dalphin,M,56505,1997-10-22,d003
12047,Jordanka,Ligten,M,52051,1997-08-23,d006
11994,Sigeru,Fiebach,F,49761,1994-11-11,d001
12050,Yuchang,Tchuente,F,46704,1990-04-01,d004
